fname,E,N,Z
7042.NP.mseed,HNE,HNN,HNZ
ELSIE.UO.mseed,HNE,HNN,HNZ
KUHN.UO.mseed,HHE,HHN,HHZ
MARQ.UO.mseed,HHE,HHN,HHZ
PF09.UO.mseed,HNE,HNN,HNZ
PF27.UO.mseed,HHE,HHN,HHZ
SAUVY.UO.mseed,HNE,HNN,HNZ
GROV.UO.mseed,HHE,HHN,HHZ
LEWL.UO.mseed,HNE,HNN,HNZ
MINN.UO.mseed,HHE,HHN,HHZ
PF16.UO.mseed,HNE,HNN,HNZ
PF29.UO.mseed,HNE,HNN,HNZ
TRIPT.UO.mseed,HHE,HHN,HHZ
HAGG.UO.mseed,HNE,HNN,HNZ
LOCK.UO.mseed,HNE,HNN,HNZ
MONKS.UO.mseed,HHE,HHN,HHZ
PF22.UO.mseed,HNE,HNN,HNZ
PF31.UO.mseed,HNE,HNN,HNZ
VERN.UO.mseed,HHE,HHN,HHZ
HAPY.UO.mseed,HNE,HNN,HNZ
MAPT.UO.mseed,HNE,HNN,HNZ
NOMA.UO.mseed,HNE,HNN,HNZ
PF25.UO.mseed,HNE,HNN,HNZ
RDEO.UO.mseed,HNE,HNN,HNZ
BEAV.UW.mseed,HNE,HNN,HNZ
DREG.UW.mseed,HNE,HNN,HNZ
PERL.UW.mseed,ENE,ENN,ENZ
ROSS.UW.mseed,ENE,ENN,ENZ
BULL.UW.mseed,HNE,HNN,HNZ
EYES.UW.mseed,ENE,ENN,ENZ
LCCR.UW.mseed,HHE,HHN,HHZ
QNCH.UW.mseed,HNE,HNN,HNZ
WPO.UW.mseed,ENE,ENN,ENZ
COLT.UW.mseed,ENE,ENN,ENZ
FALCO.UW.mseed,HNE,HNN,HNZ
LEVE.UW.mseed,HNE,HNN,HNZ
RBOK.UW.mseed,HNE,HNN,HNZ
YACT.UW.mseed,HHE,HHN,HHZ
HIYU.CC.mseed,BHE,BHN,BHZ
